Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.686000,-97.500000,90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.900000,-100.340000,90.000000,top
"C3","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.620000,-101.020000,-90.000000,top
"C4","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.900000,-104.000000,180.000000,top
"C5","4.7u","C_0402_1005Metric",126.880000,-78.230000,0.000000,top
"C6","4.7u","C_0402_1005Metric_small_pads",127.180000,-80.900000,90.000000,top
"C7","4.7u","C_0402_1005Metric_small_pads",126.180000,-80.900000,90.000000,top
"C8","15p","C_0402_1005Metric",141.830000,-84.940000,-90.000000,top
"C9","15p","C_0402_1005Metric",143.440000,-79.810000,90.000000,top
"C10","100n","C_0402_1005Metric",155.740000,-105.440000,180.000000,top
"C11","100n","C_0402_1005Metric",157.160000,-97.770000,0.000000,top
"C12","100n","C_0402_1005Metric",155.930000,-103.020000,0.000000,top
"C13","18p","C_0402_1005Metric",147.510000,-97.550000,180.000000,top
"C14","18p","C_0402_1005Metric",149.650000,-97.580000,0.000000,top
"C15","100n","C_0402_1005Metric",139.600000,-96.100000,90.000000,top
"C16","100n","C_0402_1005Metric",136.000000,-105.200000,180.000000,top
"C17","100n","C_0402_1005Metric",144.110000,-96.350000,90.000000,top
"C18","100n","C_0402_1005Metric",149.150000,-102.080000,0.000000,top
"C19","100n","C_0402_1005Metric",131.180000,-90.530000,-90.000000,top
"C20","100n","C_0402_1005Metric",135.090000,-90.490000,-90.000000,top
"C21","100n","C_0402_1005Metric",137.280000,-77.500000,90.000000,top
"C22","100n","C_0402_1005Metric",133.880000,-77.530000,90.000000,top
"C23","100n","C_0402_1005Metric",128.979000,-77.230000,90.000000,top
"C24","100n","C_0402_1005Metric",125.910000,-84.210000,180.000000,top
"C25","100n","C_0402_1005Metric",129.979000,-77.230000,90.000000,top
"C26","100n","C_0402_1005Metric",112.540000,-94.080000,180.000000,top
"C27","100n","C_0402_1005Metric",139.880000,-86.630000,0.000000,top
"C28","100n","C_0402_1005Metric",126.900000,-86.890000,180.000000,top
"C29","100n","C_0402_1005Metric",113.000000,-88.270000,-90.000000,top
"C30","100n","C_0402_1005Metric",139.880000,-84.630000,0.000000,top
"C31","100n","C_0402_1005Metric",112.890000,-69.350000,0.000000,top
"C32","100n","C_0402_1005Metric",107.970000,-64.930000,0.000000,top
"C33","100n","C_0402_1005Metric",125.910000,-83.290000,180.000000,top
"C34","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.240000,-79.790000,90.000000,top
"C35","100n","C_0402_1005Metric",148.780000,-103.740000,0.000000,top
"C36","1u","C_0805_2012Metric",140.400000,-110.100000,90.000000,top
"C37","100n","C_0402_1005Metric",140.700000,-96.100000,90.000000,top
"C38","100n","C_0402_1005Metric",136.000000,-102.800000,180.000000,top
"C39","100n","C_0402_1005Metric",145.210000,-96.350000,90.000000,top
"C40","100n","C_0402_1005Metric",137.460000,-108.540000,0.000000,top
"C41","1u","C_0402_1005Metric",102.900000,-103.600000,0.000000,top
"C42","100n","C_0402_1005Metric",133.180000,-90.530000,-90.000000,top
"C43","4.7u","C_0402_1005Metric",140.400000,-82.960000,0.000000,top
"C44","100n","C_0402_1005Metric",132.880000,-77.530000,90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.100000,-104.837500,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.450000,-87.807500,90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.120000,-87.827500,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB-C_SMD-TYPE-C-31-M-12",107.410000,-107.670000,0.000000,top
"J2","DE15_Socket_HighDensity_MountingHoles","DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm",165.214669,-69.880000,90.000000,top
"J3","Micro_SD_Card","microSD_HC_Molex_104031-0811",125.360000,-106.490000,0.000000,top
"J4","Mini-DIN-6","mini-din-6",140.800000,-66.395000,180.000000,top
"J5","Conn_02x03_Counter_Clockwise","PinHeader_2x03_P2.54mm_Vertical",113.985000,-96.970000,0.000000,top
"J6","Conn_02x12_Odd_Even","PinHeader_2x12_P2.54mm_Vertical",102.130000,-62.375000,90.000000,top
"L1","3.3u","L_pol_2016",124.500000,-80.800000,90.000000,top
"L2","FBMH1608HL121-TV","L_0603_1608Metric",142.680000,-94.080000,0.000000,top
"L3","FBMH1608HL121-TV","L_0603_1608Metric",144.220000,-109.880000,-90.000000,top
"L4","FBMH1608HL121-TV","L_0603_1608Metric",142.400000,-109.900000,90.000000,top
"P1","RB1-125BAG1A","WIZNET_RB1-125BAG1A",170.890000,-103.300000,90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.620000,-97.500000,90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.668000,-97.500000,90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.704000,-97.500000,90.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.752000,-97.500000,90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.800000,-97.500000,90.000000,top
"R6","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-65.900000,0.000000,top
"R7","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.900000,-67.900000,0.000000,top
"R8","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-67.900000,0.000000,top
"R9","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.030000,-104.850000,-90.000000,top
"R10","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-70.100000,0.000000,top
"R11","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.900000,-72.100000,0.000000,top
"R12","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-72.100000,0.000000,top
"R13","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-74.300000,0.000000,top
"R14","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.900000,-76.300000,0.000000,top
"R15","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-76.300000,0.000000,top
"R16","33","R_0402_1005Metric",124.980000,-78.230000,0.000000,top
"R17","27","R_0402_1005Metric",120.100000,-82.390000,0.000000,top
"R18","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.620000,-72.910000,0.000000,top
"R19","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.380000,-75.010000,0.000000,top
"R20","27","R_0402_1005Metric",120.100000,-81.430000,0.000000,top
"R21","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.440000,-83.230000,180.000000,top
"R22","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.870000,-72.910000,0.000000,top
"R23","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.630000,-75.010000,0.000000,top
"R24","1k","R_0402_1005Metric",124.320000,-88.470000,-90.000000,top
"R25","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.400000,-79.200000,90.000000,top
"R26","10k","R_0402_1005Metric",122.360000,-93.480000,-90.000000,top
"R27","1k","R_0402_1005Metric",100.600000,-85.210000,90.000000,top
"R28","3.3","R_0402_1005Metric",152.700000,-105.000000,0.000000,top
"R29","4.7k","R_0402_1005Metric",147.110000,-109.370000,90.000000,top
"R30","3.3","R_0402_1005Metric",152.700000,-104.030000,0.000000,top
"R31","3.3","R_0402_1005Metric",154.100000,-99.100000,0.000000,top
"R32","1k","R_0402_1005Metric",141.850000,-82.190000,90.000000,top
"R33","3.3","R_0402_1005Metric",154.100000,-100.040000,0.000000,top
"R34","49.9","R_0402_1005Metric",155.100000,-101.300000,0.000000,top
"R35","49.9","R_0402_1005Metric",155.100000,-97.800000,0.000000,top
"R36","49.9","R_0402_1005Metric",153.720000,-103.040000,0.000000,top
"R37","49.9","R_0402_1005Metric",153.340000,-105.950000,0.000000,top
"R38","330","R_0402_1005Metric",155.240000,-94.020000,0.000000,top
"R39","1M","R_0402_1005Metric",148.520000,-98.710000,0.000000,top
"R40","330","R_0402_1005Metric",150.280000,-108.080000,0.000000,top
"R41","12k/1%","R_0402_1005Metric",149.150000,-101.150000,0.000000,top
"R42","300","R_0402_1005Metric",149.140000,-100.170000,180.000000,top
"R43","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.070000,-79.810000,90.000000,top
"R44","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.390000,-82.710000,0.000000,top
"R45","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.420000,-82.770000,90.000000,top
"R46","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.090000,-82.770000,90.000000,top
"S1","TS-1088-AR02016","SW_TS-1088-AR02016",102.750000,-91.630000,180.000000,top
"S2","TS-1088-AR02016","SW_TS-1088-AR02016",102.770000,-87.960000,180.000000,top
"S3","TS-1088-AR02016","SW_TS-1088-AR02016",150.910000,-87.830000,90.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",102.300000,-98.500000,90.000000,top
"U2","RPI_RMC20452T","rpi_rmc20452t",102.130000,-73.770000,90.000000,top
"U3","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",118.440000,-85.910000,180.000000,top
"U4","RP2350_80QFN","RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias",133.380000,-84.030000,90.000000,top
"U5","APS6404L","SOP-8_3.9x4.9mm_P1.27mm",117.500000,-92.135000,180.000000,top
"U6","W5100S-L","LQFP-48_7x7mm_P0.5mm",142.400000,-102.500000,180.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.435349,-82.855608,0.000000,top
"Y2","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",149.740000,-94.940000,0.000000,top
